Symbol,Period,Total Asset,TotalLiabilities('000 Baht),Paid-upCap('000 Baht),Equity('000 Baht),Revenue('000 Baht),Expenses('000 Baht),EBITDA('000 Baht),EBIT('000 Baht),Net Profit('000 Baht),EPS**(Baht),Operating Cash Flow('000 Baht),Investing Cash Flow('000 Baht),Financing Cash Flow('000 Baht),Net Cash Flow('000 Baht),Return onEquity+(%),Return onAsset+(%),Gross ProfitMargin(%),Net ProfitMargin(%),EBIT Margin(%),D/E(Times),Int. Coverage(Times),Current Ratio(Times),Quick Ratio(Times),FixedAssetTurnover+(Times),TotalAssetTurnover+(Times),Inventory Turnover+(Times),Average Sale Period+(Days),Accounts Receivable Turnover+(Times),Average Collection Period+(Days),Account Payable Turnover+(Times),Average Payment Period+(Days),Cash Cycle+(Days),Equity Multiplier,Period
Anan,Q2/2015,19949414.00,13117471.00,333300.00,6831943.00,1541190.00,1407344.00,150219.00,133846.00,71959.00,0.02,-1878792.00,-1128214.00,2312686.00,-694320.00,15.69,8.29,42.44,4.67,8.68,1.92,1.91,3.64,0.42,18.44,0.51,0.44,822.00,24.04,15.18,5.45,66.92,770.26,2.92,2015Q2
Anan,Q3/2015,20809443.00,12963996.00,333300.00,7845447.00,2665072.00,2369622.00,312907.00,295450.00,161025.00,0.05,-981904.00,-1820885.00,2555831.00,-246958.00,13.51,7.78,38.20,6.04,11.09,1.65,5.43,3.94,0.54,19.56,0.53,0.48,762.34,105.39,3.46,5.32,68.55,697.25,2.65,2015Q3
Anan,Q4/2015,20470531.49,11743358.59,333300.00,8727172.90,5425576.82,4214304.56,1231695.67,1211272.26,900096.44,0.27,1151601.38,-2197286.98,1141815.96,96130.36,15.43,9.59,37.38,16.59,22.33,1.35,17.92,2.86,0.48,21.89,0.59,0.59,613.88,143.68,2.54,6.18,59.09,557.33,2.35,2015Q4
Anan,Q1/2016,21854647.00,12996960.00,333300.00,8857687.00,2595442.00,2330628.00,284435.00,264814.00,148684.00,0.04,235282.00,-843803.00,870109.00,261588.00,16.18,9.45,36.87,5.73,10.20,1.47,3.86,2.52,0.43,23.96,0.61,0.62,591.57,196.81,1.85,7.96,45.84,547.58,2.47,2016Q1
Anan,Q2/2016,22716928.00,12903848.00,333300.00,9813080.00,2889090.00,2519054.00,389585.00,370036.00,209774.00,0.05,-180812.00,-1172234.00,1536395.00,183349.00,17.06,10.04,35.14,7.26,12.81,1.31,4.92,1.68,0.27,24.92,0.64,0.65,565.76,164.71,2.22,8.63,42.31,525.66,2.31,2016Q2
Anan,Q3/2016,23514732.00,13618552.00,333300.00,9896180.00,2978603.00,2541827.00,463843.00,436776.00,249513.00,0.06,619042.00,-2699891.00,1598515.00,-482334.00,17.00,10.30,34.54,8.38,14.66,1.38,4.47,1.56,0.20,18.68,0.63,0.65,565.71,116.85,3.12,7.32,49.87,518.96,2.38,2016Q3
Anan,Q4/2016,25365908.48,14611567.27,333300.00,10754341.21,3882056.40,2811109.32,1099428.42,1070947.08,893470.76,0.26,2074455.98,-4646334.21,2181229.40,-390648.82,15.41,9.35,23.72,23.02,27.59,1.36,11.47,1.96,0.32,17.40,0.54,0.62,584.05,46.19,7.90,6.28,58.16,533.78,2.36,2016Q4
Anan,Q1/2017,27311018.00,15460813.00,333300.00,11850205.00,2314330.00,2066537.00,277315.00,247793.00,140348.00,0.03,-1385176.00,649008.00,1327895.00,591727.00,14.42,8.65,33.08,6.06,10.71,1.30,2.84,1.82,0.32,17.64,0.49,0.59,622.86,57.61,6.34,6.16,59.27,569.92,2.30,2017Q1
Anan,Q2/2017,26146622.00,14350059.00,333300.00,11796563.00,3751728.00,3232850.00,550229.00,518878.00,279465.00,0.07,-344695.00,-742106.00,746124.00,-340677.00,14.46,9.31,37.07,7.45,13.83,1.22,4.97,2.27,0.26,18.22,0.53,0.65,562.29,70.41,5.18,8.19,44.54,522.93,2.22,2017Q2
Anan,Q3/2017,27019308.00,15040670.00,333300.00,11686085.00,2758662.00,2469679.00,321602.00,288983.00,140944.00,0.03,-3112579.00,393700.00,1997197.00,-721682.00,13.48,8.42,35.17,5.11,10.48,1.29,3.23,2.32,0.23,14.05,0.50,0.61,597.95,35.07,10.41,7.05,51.78,556.58,2.31,2017Q3
Anan,Q4/2017,29869575.89,16409769.05,333300.00,12396315.16,4125438.17,3194507.48,963979.02,930930.70,767697.49,0.21,-5688731.09,108319.27,5461071.62,-119340.20,11.48,7.19,34.45,18.61,22.57,1.32,220.23,2.76,0.39,15.09,0.47,0.63,582.80,17.22,21.20,6.38,57.24,546.76,2.41,2017Q4
Anan,Q1/2018,35727393.00,22174207.00,333300.00,12489694.00,2820513.00,2534355.00,322476.00,286158.00,144739.00,0.03,-2388830.00,-2369106.00,5932837.00,1174901.00,10.95,6.42,33.80,5.13,10.15,1.78,3.12,2.52,0.57,16.25,0.43,0.57,638.75,33.54,10.88,6.82,53.50,596.13,2.86,2018Q1
Anan,Q2/2018,35504085.00,21641738.00,333300.00,12798855.00,2964314.00,2279223.00,723554.00,685091.00,584018.00,0.16,-3906053.00,-1118978.00,4546466.00,-478565.00,13.31,7.11,29.61,19.70,23.11,1.69,7.54,2.51,0.22,16.26,0.41,0.53,692.47,31.86,11.46,7.48,48.78,655.14,2.77,2018Q2
Anan,Q3/2018,40124816.00,23243834.00,333300.00,14828476.00,3679602.00,2593320.00,1117580.00,1086282.00,979583.00,0.28,-6858163.00,-1012466.00,8229890.00,359261.00,18.68,8.90,29.48,26.62,29.52,1.57,12.71,2.40,0.48,17.67,0.40,0.53,685.77,6.91,52.86,5.22,69.86,668.77,2.71,2018Q3
Anan,Q4/2018,41573145.06,23584161.81,333300.00,15955240.44,3497444.92,2694136.21,840362.94,803308.71,711087.08,0.18,-7559787.21,164486.02,10045811.76,2650510.57,17.07,8.01,26.75,20.33,22.97,1.48,8.00,2.22,0.45,17.22,0.36,0.45,803.55,10.77,33.89,4.83,75.55,761.89,2.61,2018Q4
Anan,Q1/2019,43012326.00,23658793.00,333300.00,17279937.00,1822256.00,1830981.00,27781.00,-8725.00,232335.00,0.04,-1643313.00,225482.00,1129249.00,-288582.00,16.84,6.52,29.95,12.75,-0.48,1.37,-0.08,2.46,0.44,16.42,0.30,0.37,983.05,15.61,23.39,5.14,71.02,935.41,2.49,2019Q1
Anan,Q2/2019,48496792.00,29558292.00,333300.00,16816613.00,2291864.00,2005596.00,331913.00,286268.00,119782.00,0.01,-5064371.00,-1513599.00,5712000.00,-865970.00,13.80,6.04,24.59,5.23,12.49,1.76,2.02,2.02,0.38,17.33,0.28,0.31,1192.83,15.32,23.82,3.98,91.80,1124.85,2.88,2019Q2
Anan,Q3/2019,52291824.00,33853169.00,333300.00,16638796.00,3037483.00,2632223.00,448328.00,405260.00,234002.00,0.04,-6538774.00,-2649671.00,8797055.00,-391390.00,8.24,4.02,27.31,7.70,13.34,2.03,2.34,2.01,0.46,16.64,0.24,0.29,1238.76,4.74,77.07,2.66,137.19,1178.64,3.14,2019Q3
Anan,Q4/2019,48794777.56,30320803.11,333300.00,16633769.35,2799231.15,2453207.87,400074.55,346023.28,118538.65,0.00,-7384058.82,-1670347.65,8368792.00,-685614.47,4.32,3.10,23.90,4.23,12.36,1.82,2.03,1.82,0.42,12.41,0.23,0.33,1103.78,10.05,36.31,3.84,95.02,1045.07,2.93,2019Q4
Anan,Q1/2020,48744963.00,30379274.00,333300.00,16518305.00,1857956.00,1491173.00,425236.00,366783.00,150203.00,0.02,-634470.00,3207465.00,-240840.00,2332155.00,3.68,3.87,17.52,8.08,19.74,1.84,2.11,1.77,0.40,13.35,0.23,0.32,1126.54,14.47,25.23,4.98,73.26,1078.51,2.95,2020Q1
Anan,2019,48794777.56,30320803.11,333300.00,16633769.35,10320223.15,8919982.87,1579510.55,1400240.28,704657.65,0.09,-7384058.82,-1670347.65,8368792.00,-685614.47,4.32,3.10,26.25,6.83,13.57,1.82,2.37,1.82,0.42,12.41,0.23,0.33,1103.78,10.05,36.31,3.84,95.02,1045.07,2.93,2019
Anan,2018,41573145.06,23584161.81,333300.00,15955240.44,12896022.92,10035183.21,3003972.94,2860839.71,2419427.08,0.65,-7559787.21,164486.02,10045811.76,2650510.57,17.07,8.01,30.04,18.76,22.18,1.48,7.77,2.22,0.45,17.22,0.36,0.45,803.55,10.77,33.89,4.83,75.55,761.89,2.61,2018
Anan,2017,29869575.89,16409769.05,333300.00,12396315.16,12950158.17,10963573.48,2113125.02,1986584.70,1328454.49,0.34,-5688731.09,108319.27,5461071.62,-119340.20,11.48,7.19,35.12,10.26,15.34,1.32,6.96,2.76,0.39,15.09,0.47,0.63,582.80,17.22,21.20,6.38,57.24,546.76,2.41,2017
Anan,2016,25365908.48,14611567.27,333300.00,10754341.21,12345191.40,10202618.32,2237291.42,2142573.08,1501441.76,0.42,2074455.98,-4646334.21,2181229.40,-390648.82,15.41,9.35,32.21,12.16,17.36,1.36,6.40,1.96,0.32,17.40,0.54,0.62,584.05,46.19,7.90,6.28,58.16,533.78,2.36,2016
Anan,2015,20470531.49,11743358.59,333300.00,8727172.90,11025352.82,9224258.56,1870856.67,1801094.26,1206642.44,0.36,1151601.38,-2197286.98,1141815.96,96130.36,15.43,9.59,38.72,10.94,16.34,1.35,7.10,2.86,0.48,21.89,0.59,0.59,613.88,143.68,2.54,6.18,59.09,557.33,2.35,2015
Ap,Q1/2015,38330787.00,21922727.00,3145899.00,16407619.00,5239714.00,4456282.00,800654.00,783432.00,559591.00,0.18,-2480018.00,-198292.00,2967000.00,288690.00,19.01,10.67,33.94,10.68,14.95,1.34,11.17,3.54,0.08,183.83,0.67,0.50,734.03,254.34,1.44,14.30,25.52,709.94,2.34,2015Q1
Ap,Q2/2015,36718445.00,20485524.00,3145899.00,16232474.00,5495565.00,4588187.00,924684.00,907378.00,642659.00,0.20,-1699517.00,1204355.00,909196.00,414034.00,18.67,10.71,35.07,11.69,16.51,1.26,10.24,3.82,0.11,162.39,0.68,0.50,729.38,198.20,1.84,14.00,26.08,705.15,2.26,2015Q2
Ap,Q3/2015,36485458.00,19507470.00,3145899.00,16977536.00,5683894.00,4654834.00,1045841.00,1029060.00,745062.00,0.24,-1622940.00,1278239.00,410196.00,65495.00,15.84,10.07,34.12,13.11,18.10,1.15,14.45,4.05,0.08,181.90,0.63,0.46,786.66,213.16,1.71,10.06,36.30,752.07,2.15,2015Q3
Ap,Q4/2015,36146983.00,18492918.00,3145899.00,17653602.00,5978825.00,5062703.00,932104.00,916122.00,676066.00,0.21,-468099.00,966030.00,-539804.00,-41873.00,15.66,10.14,33.43,11.31,15.32,1.05,18.43,4.47,0.07,190.68,0.62,0.46,798.14,262.09,1.39,10.81,33.75,765.78,2.05,2015Q4
Ap,Q1/2016,37448214.00,19339361.00,3145899.00,18108377.00,4229875.00,3592209.00,652439.00,637666.00,454775.00,0.14,-2266625.00,254885.00,2280500.00,268760.00,14.59,9.21,34.10,10.75,15.08,1.07,10.99,4.03,0.09,186.13,0.56,0.42,866.69,311.37,1.17,11.81,30.90,836.96,2.07,2016Q1
Ap,Q2/2016,37174067.00,19482977.00,3145899.00,17690598.00,4524987.00,3787431.00,752397.00,737556.00,525981.00,0.17,-2297964.00,464693.00,2360676.00,527405.00,14.16,8.99,34.23,11.62,16.30,1.10,16.33,3.71,0.11,161.55,0.55,0.42,871.94,210.98,1.73,11.38,32.06,841.61,2.10,2016Q2
Ap,Q3/2016,37484889.00,19337137.00,3145899.00,18147146.00,4481122.00,3872717.00,620798.00,608405.00,456548.00,0.14,-2441751.00,119665.00,2575176.00,253090.00,12.03,7.84,35.16,10.19,13.58,1.07,24.10,3.45,0.08,195.49,0.52,0.39,933.01,206.83,1.76,11.84,30.82,903.95,2.07,2016Q3
Ap,Q4/2016,37789969.00,18366034.00,3145899.00,19423312.00,7582412.00,6055771.00,1538784.00,1526641.00,1265257.00,0.40,-396906.00,-135962.00,1198676.00,665808.00,14.58,9.50,34.12,16.69,20.13,0.95,25.25,3.41,0.12,211.65,0.56,0.42,860.58,360.84,1.01,13.32,27.40,834.20,1.95,2016Q4
