Symbol,Period,Total Asset,TotalLiabilities('000 Baht),Paid-upCap('000 Baht),Equity('000 Baht),Revenue('000 Baht),Expenses('000 Baht),EBITDA('000 Baht),EBIT('000 Baht),Net Profit('000 Baht),EPS**(Baht),Operating Cash Flow('000 Baht),Investing Cash Flow('000 Baht),Financing Cash Flow('000 Baht),Net Cash Flow('000 Baht),Return onEquity+(%),Return onAsset+(%),Gross ProfitMargin(%),Net ProfitMargin(%),EBIT Margin(%),D/E(Times),Int. Coverage(Times),Current Ratio(Times),Quick Ratio(Times),FixedAssetTurnover+(Times),TotalAssetTurnover+(Times),Inventory Turnover+(Times),Average Sale Period+(Days),Accounts Receivable Turnover+(Times),Average Collection Period+(Days),Account Payable Turnover+(Times),Average Payment Period+(Days),Cash Cycle+(Days),Equity Multiplier,Period
Anan,Q4/2019,"48,794,777.56","30,320,803.11","333,300.00","16,633,769.35","2,799,231.15","2,453,207.87","400,074.55","346,023.28","118,538.65",0,"-7,384,058.82","-1,670,347.65","8,368,792.00","-685,614.47",4.32,3.1,23.9,4.23,12.36,1.82,2.03,1.82,0.42,12.41,0.23,0.33,"1,103.78",10.05,36.31,3.84,95.02,"1,045.07",2.93,2019Q4
Anan,Q1/2020,"48,744,963.00","30,379,274.00","333,300.00","16,518,305.00","1,857,956.00","1,491,173.00","425,236.00","366,783.00","150,203.00",0.02,"-634,470.00","3,207,465.00","-240,840.00","2,332,155.00",3.68,3.87,17.52,8.08,19.74,1.84,2.11,1.77,0.4,13.35,0.23,0.32,"1,126.54",14.47,25.23,4.98,73.26,"1,078.51",2.95,2020Q1
Anan,2019,"48,794,777.56","30,320,803.11","333,300.00","16,633,769.35","10,320,223.15","8,919,982.87","1,579,510.55","1,400,240.28","704,657.65",0.09,"-7,384,058.82","-1,670,347.65","8,368,792.00","-685,614.47",4.32,3.1,26.25,6.83,13.57,1.82,2.37,1.82,0.42,12.41,0.23,0.33,"1,103.78",10.05,36.31,3.84,95.02,"1,045.07",2.93,2019
Anan,2018,"41,573,145.06","23,584,161.81","333,300.00","15,955,240.44","12,896,022.92","10,035,183.21","3,003,972.94","2,860,839.71","2,419,427.08",0.65,"-7,559,787.21","164,486.02","10,045,811.76","2,650,510.57",17.07,8.01,30.04,18.76,22.18,1.48,7.77,2.22,0.45,17.22,0.36,0.45,803.55,10.77,33.89,4.83,75.55,761.89,2.61,2018
Anan,2017,"29,869,575.89","16,409,769.05","333,300.00","12,396,315.16","12,950,158.17","10,963,573.48","2,113,125.02","1,986,584.70","1,328,454.49",0.34,"-5,688,731.09","108,319.27","5,461,071.62","-119,340.20",11.48,7.19,35.12,10.26,15.34,1.32,6.96,2.76,0.39,15.09,0.47,0.63,582.8,17.22,21.2,6.38,57.24,546.76,2.41,2017
Anan,2016,"25,365,908.48","14,611,567.27","333,300.00","10,754,341.21","12,345,191.40","10,202,618.32","2,237,291.42","2,142,573.08","1,501,441.76",0.42,"2,074,455.98","-4,646,334.21","2,181,229.40","-390,648.82",15.41,9.35,32.21,12.16,17.36,1.36,6.4,1.96,0.32,17.4,0.54,0.62,584.05,46.19,7.9,6.28,58.16,533.78,2.36,2016
Anan,2015,"20,470,531.49","11,743,358.59","333,300.00","8,727,172.90","11,025,352.82","9,224,258.56","1,870,856.67","1,801,094.26","1,206,642.44",0.36,"1,151,601.38","-2,197,286.98","1,141,815.96","96,130.36",15.43,9.59,38.72,10.94,16.34,1.35,7.1,2.86,0.48,21.89,0.59,0.59,613.88,143.68,2.54,6.18,59.09,557.33,2.35,2015
Ap,Q1/2015,"38,330,787.00","21,922,727.00","3,145,899.00","16,407,619.00","5,239,714.00","4,456,282.00","800,654.00","783,432.00","559,591.00",0.18,"-2,480,018.00","-198,292.00","2,967,000.00","288,690.00",19.01,10.67,33.94,10.68,14.95,1.34,11.17,3.54,0.08,183.83,0.67,0.5,734.03,254.34,1.44,14.3,25.52,709.94,2.34,2015Q1
Ap,Q2/2015,"36,718,445.00","20,485,524.00","3,145,899.00","16,232,474.00","5,495,565.00","4,588,187.00","924,684.00","907,378.00","642,659.00",0.2,"-1,699,517.00","1,204,355.00","909,196.00","414,034.00",18.67,10.71,35.07,11.69,16.51,1.26,10.24,3.82,0.11,162.39,0.68,0.5,729.38,198.2,1.84,14,26.08,705.15,2.26,2015Q2
Ap,Q3/2015,"36,485,458.00","19,507,470.00","3,145,899.00","16,977,536.00","5,683,894.00","4,654,834.00","1,045,841.00","1,029,060.00","745,062.00",0.24,"-1,622,940.00","1,278,239.00","410,196.00","65,495.00",15.84,10.07,34.12,13.11,18.1,1.15,14.45,4.05,0.08,181.9,0.63,0.46,786.66,213.16,1.71,10.06,36.3,752.07,2.15,2015Q3
